,1. open,2. high,3. low,4. close,5. volume,ticker
2022-08-12,2298.4595,2394.5687,2295.4221,2386.9978,1241342.0,RELIANCE.BSE
2022-08-05,2278.5123,2373.3974,2273.9335,2297.5075,10172646.0,RELIANCE.BSE
2022-07-29,2238.618,2282.1391,2177.8697,2274.6589,3294084.0,RELIANCE.BSE
2022-07-22,2194.2355,2307.5717,2170.1629,2269.3548,11668742.0,RELIANCE.BSE
2022-07-15,2157.9225,2211.4173,2149.1276,2177.4617,3096912.0,RELIANCE.BSE
2022-07-08,2165.9014,2234.6739,2146.1356,2168.3495,4526052.0,RELIANCE.BSE
2022-07-01,2311.1532,2371.7201,2144.3222,2184.1712,3802226.0,RELIANCE.BSE
2022-06-24,2363.7412,2373.8055,2217.7641,2267.4054,1864806.0,RELIANCE.BSE
2022-06-17,2406.1743,2423.8548,2295.7394,2347.6928,2091280.0,RELIANCE.BSE
2022-06-10,2521.1426,2551.1994,2449.5141,2460.757,2324582.0,RELIANCE.BSE
2022-06-03,2375.3468,2553.5568,2352.7249,2520.1452,3875886.0,RELIANCE.BSE
2022-05-27,2384.5951,2407.9877,2302.4036,2334.9085,2115066.0,RELIANCE.BSE
2022-05-20,2205.0704,2396.382,2190.9714,2377.4776,3652830.0,RELIANCE.BSE
2022-05-13,2334.7271,2354.8556,2148.8556,2201.489,3118044.0,RELIANCE.BSE
2022-05-06,2498.3847,2543.2658,2352.4982,2376.5709,8201634.0,RELIANCE.BSE
2022-04-29,2483.8323,2588.6004,2415.7852,2530.3908,2612378.0,RELIANCE.BSE
2022-04-22,2294.1527,2539.3217,2287.2165,2501.0594,3628022.0,RELIANCE.BSE
2022-04-13,2356.4877,2391.8486,2308.4331,2314.2813,1159936.0,RELIANCE.BSE
2022-04-08,2409.0757,2425.3961,2323.4842,2372.5814,1815320.0,RELIANCE.BSE
2022-04-01,2367.368,2437.1831,2345.5167,2406.7636,1796164.0,RELIANCE.BSE
2022-03-25,2223.2042,2370.9947,2214.1373,2354.4023,2472340.0,RELIANCE.BSE
2022-03-17,2170.6162,2263.9146,2122.743,2248.2742,2583394.0,RELIANCE.BSE
2022-03-11,2081.7606,2189.6567,1977.4912,2174.6963,4895586.0,RELIANCE.BSE
2022-03-04,2037.3781,2189.158,2035.5194,2108.3719,2198102.0,RELIANCE.BSE
2022-02-25,2189.566,2209.4225,2033.2526,2070.8349,3218284.0,RELIANCE.BSE
2022-02-18,2085.3873,2226.831,2085.3873,2197.9529,2865774.0,RELIANCE.BSE
2022-02-11,2119.8415,2173.6989,2089.9661,2155.0665,10039304.0,RELIANCE.BSE
2022-02-04,2135.2553,2194.6888,2105.3345,2114.2201,6974104.0,RELIANCE.BSE
2022-01-28,2246.8688,2270.4428,2089.9661,2117.4842,8383486.0,RELIANCE.BSE
2022-01-21,2302.6303,2325.6602,2221.5268,2246.8688,1903108.0,RELIANCE.BSE
2022-01-14,2224.9723,2327.0202,2191.0621,2301.8143,2406142.0,RELIANCE.BSE
2022-01-07,2146.5889,2245.2368,2144.2768,2208.6518,3544540.0,RELIANCE.BSE
2021-12-31,2142.4181,2192.7394,2127.0951,2147.1783,1786818.0,RELIANCE.BSE
2021-12-24,2098.9877,2168.7121,2038.2394,2150.8957,3648094.0,RELIANCE.BSE
2021-12-17,2239.5246,2243.6048,2103.5211,2122.6976,2834640.0,RELIANCE.BSE
2021-12-10,2195.0968,2243.9674,2137.2047,2229.5057,3207556.0,RELIANCE.BSE
2021-12-03,2186.9366,2266.7254,2166.9894,2183.4459,3906202.0,RELIANCE.BSE
2021-11-26,2212.3239,2269.2641,2093.9102,2187.0726,7209456.0,RELIANCE.BSE
2021-11-18,2357.3944,2359.2984,2221.9349,2242.018,1924730.0,RELIANCE.BSE
2021-11-12,2275.8829,2356.3063,2228.327,2350.5942,2249238.0,RELIANCE.BSE
2021-11-03,2295.0141,2316.5933,2231.3644,2252.0823,2025320.0,RELIANCE.BSE
2021-10-29,2447.1567,2447.1567,2269.0374,2300.8169,3593782.0,RELIANCE.BSE
2021-10-22,2433.5563,2493.3979,2360.1144,2381.9203,7424220.0,RELIANCE.BSE
2021-10-14,2470.4586,2470.4586,2394.5687,2447.9274,6785420.0,RELIANCE.BSE
2021-10-08,2311.9692,2433.4657,2300.7716,2421.6334,4397244.0,RELIANCE.BSE
2021-10-01,2252.3996,2325.6602,2244.5114,2287.4432,14198736.0,RELIANCE.BSE
2021-09-24,2153.3891,2270.9868,2148.8556,2251.2663,8652476.0,RELIANCE.BSE
2021-09-17,2201.4437,2226.6496,2145.3195,2167.3521,2364286.0,RELIANCE.BSE
2021-09-09,2188.75,2248.4555,2181.6325,2199.1316,2427426.0,RELIANCE.BSE
2021-09-03,2030.9859,2170.8882,1931.25,2165.4027,3350378.0,RELIANCE.BSE
2021-08-27,1965.7042,2035.3834,1933.4714,2018.9723,2008452.0,RELIANCE.BSE
2021-08-20,1946.2104,1996.5317,1930.0713,1945.9384,1894028.0,RELIANCE.BSE
2021-08-13,1882.4701,1949.2025,1873.0405,1944.6237,2883084.0,RELIANCE.BSE
2021-08-06,1856.1761,1953.5546,1850.5546,1894.121,3431932.0,RELIANCE.BSE
2021-07-30,1913.1162,1923.6338,1828.4313,1845.4771,2455540.0,RELIANCE.BSE
2021-07-23,1907.6761,1935.7835,1889.5423,1908.7641,4305620.0,RELIANCE.BSE
2021-07-16,1887.5475,1917.1963,1881.518,1914.7482,5240072.0,RELIANCE.BSE
2021-07-09,1938.3222,1952.1039,1873.1765,1879.75,3863494.0,RELIANCE.BSE
2021-07-02,1925.8099,1934.1967,1886.9129,1930.5246,4379436.0,RELIANCE.BSE
2021-06-25,1998.6624,2049.7997,1886.9582,1907.9481,6141492.0,RELIANCE.BSE
2021-06-18,2007.412,2062.2667,1976.4485,2017.4309,4272860.0,RELIANCE.BSE
2021-06-11,2000.0678,2032.618,1956.864,2006.5053,3249328.0,RELIANCE.BSE
2021-06-04,1904.956,2040.0528,1887.7289,1986.1954,8745446.0,RELIANCE.BSE
2021-05-28,1820.0898,1908.5827,1777.2033,1899.4252,7062614.0,RELIANCE.BSE
2021-05-21,1757.8002,1828.4313,1750.8187,1814.1963,4067854.0,RELIANCE.BSE
2021-05-14,1762.379,1764.5097,1728.6048,1756.1228,2760896.0,RELIANCE.BSE
2021-05-07,1780.4674,1794.3398,1729.2848,1751.0907,4826512.0,RELIANCE.BSE
2021-04-30,1737.445,1854.1813,1733.4555,1808.3482,5391718.0,RELIANCE.BSE
2021-04-23,1723.618,1740.7544,1702.4014,1726.7007,4901218.0,RELIANCE.BSE
2021-04-16,1773.5313,1782.7795,1723.2099,1753.5387,5509420.0,RELIANCE.BSE
2021-04-09,1836.0475,1855.1787,1778.7901,1797.6492,5297200.0,RELIANCE.BSE
2021-04-01,1822.1752,1858.6241,1806.1268,1833.0555,1441008.0,RELIANCE.BSE
2021-03-26,1881.382,1913.0255,1788.945,1808.1668,4626548.0,RELIANCE.BSE
2021-03-19,1939.0929,1948.2958,1796.3345,1887.6382,5368092.0,RELIANCE.BSE
2021-03-12,1968.8776,2022.8257,1925.4925,1939.0929,2469626.0,RELIANCE.BSE
2021-03-05,1917.151,2012.8521,1870.6831,1975.2698,6969464.0,RELIANCE.BSE
2021-02-26,1885.9155,1951.4239,1808.9375,1889.4063,11909664.0,RELIANCE.BSE
2021-02-19,1857.8081,1911.0308,1836.4102,1886.4142,4153886.0,RELIANCE.BSE
2021-02-12,1751.0,1883.6488,1748.0986,1850.7813,8717312.0,RELIANCE.BSE
2021-02-05,1673.0246,1768.9525,1673.0246,1744.4718,9540034.0,RELIANCE.BSE
2021-01-29,1860.5282,1860.5282,1659.243,1671.1659,12163786.0,RELIANCE.BSE
2021-01-22,1758.9789,1922.0018,1743.2478,1858.3974,8994064.0,RELIANCE.BSE
2021-01-15,1754.4454,1790.6677,1715.6844,1756.8028,8969094.0,RELIANCE.BSE
2021-01-08,1802.9987,1811.4762,1727.2447,1752.6774,4826440.0,RELIANCE.BSE
2021-01-01,1817.0977,1835.9569,1791.529,1801.7293,2866640.0,RELIANCE.BSE
2020-12-24,1822.4472,1833.3275,1682.8622,1807.8495,6121946.0,RELIANCE.BSE
2020-12-18,1825.1673,1827.2073,1778.4727,1806.3534,2348700.0,RELIANCE.BSE
2020-12-11,1760.7923,1847.6532,1760.7923,1818.4577,5706992.0,RELIANCE.BSE
2020-12-04,1754.6721,1796.2438,1750.8187,1764.9177,5105880.0,RELIANCE.BSE
2020-11-27,1749.0053,1806.1268,1742.2504,1749.776,6474490.0,RELIANCE.BSE
2020-11-20,1889.5423,1889.5423,1717.8151,1721.9859,5474388.0,RELIANCE.BSE
2020-11-13,1866.603,1899.8332,1781.6461,1809.8442,10520224.0,RELIANCE.BSE
2020-11-06,1843.7544,1849.6479,1663.7764,1839.6743,13030864.0,RELIANCE.BSE
2020-10-30,1904.956,1909.4894,1804.9934,1862.6589,6590352.0,RELIANCE.BSE
2020-10-23,1987.4648,2020.4683,1896.3424,1915.4283,4342854.0,RELIANCE.BSE
2020-10-16,2025.0924,2089.1954,1970.283,1972.5044,5867188.0,RELIANCE.BSE
2020-10-09,2036.4261,2093.9102,1996.033,2025.2738,4504102.0,RELIANCE.BSE
2020-10-01,2021.0123,2055.9652,2001.2918,2017.4309,5375220.0,RELIANCE.BSE
2020-09-25,2089.9208,2118.5268,1966.2482,1996.2597,5641302.0,RELIANCE.BSE
2020-09-18,2103.2945,2147.7676,2064.5788,2090.3741,5445072.0,RELIANCE.BSE
2020-09-11,1886.0968,2125.191,1854.4987,2102.4784,11476006.0,RELIANCE.BSE
2020-09-04,1969.331,1969.331,1868.9151,1883.5581,8058146.0,RELIANCE.BSE
2020-08-28,1902.9613,1948.0238,1856.2214,1918.1937,5521760.0,RELIANCE.BSE
2020-08-21,1906.9054,1953.0106,1876.8486,1887.5022,6512732.0,RELIANCE.BSE
2020-08-14,1955.2773,1962.9388,1895.1637,1916.8336,7392456.0,RELIANCE.BSE
2020-08-07,1866.875,1990.1849,1814.5136,1946.3917,13542340.0,RELIANCE.BSE
2020-07-31,1985.1981,1993.5396,1861.7069,1874.0832,14829938.0,RELIANCE.BSE
2020-07-24,1740.8904,1960.9894,1722.3486,1945.9384,15053994.0,RELIANCE.BSE
2020-07-17,1730.4181,1793.8864,1630.3649,1733.0022,16364134.0,RELIANCE.BSE
2020-07-10,1633.0849,1708.5669,1620.2553,1703.2174,8192610.0,RELIANCE.BSE
